2021-05-17 23:33:50 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '115.221.247.33', 'port': '9999', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2021-05-17 23:34:10 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '115.221.247.34', 'port': '9999', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2021-05-17 23:34:10 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '106.14.198.6', 'port': '8080', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2021-05-17 23:34:30 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '58.250.21.56', 'port': '3128', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2021-05-17 23:34:30 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '39.106.223.134', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2021-05-17 23:34:43 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '218.60.8.83', 'port': '3129', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2021-05-17 23:35:03 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.145.32.98', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2021-05-17 23:35:04 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '13.51.131.184', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2021-05-17 23:35:24 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.115.255.186', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2021-05-17 23:35:44 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.115.255.187', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 48, 'disable_domains': ['taobao.com', 'baidu.com', 'baidu.com', 'baidu.com']}
2021-05-17 23:36:04 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.115.255.188', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 47, 'disable_domains': ['jingdong.com']}
2021-05-17 23:36:24 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.115.255.189', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 46, 'disable_domains': ['tianmao.com']}
2021-05-17 23:36:44 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.115.255.190', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 46, 'disable_domains': ['jd.com']}
2021-05-17 23:36:56 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '212.179.18.75', 'port': '3128', 'protocol': 0, 'nick_type': 2, 'speed': 1.41, 'area': '以色列 Tel Aviv 特拉维夫', 'score': 50, 'disable_domains': []}
2021-05-17 23:37:03 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '41.59.90.92', 'port': '80', 'protocol': 0, 'nick_type': 0, 'speed': 5.57, 'area': '坦桑尼亚 Dar es Salaam Region 达累斯萨拉姆', 'score': 50, 'disable_domains': []}
2021-05-17 23:37:24 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '65.21.3.120', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '芬兰 Uusimaa XX', 'score': 49, 'disable_domains': []}
2021-05-17 23:37:44 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.99.77.254', 'port': '3128', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '中国 香港 XX', 'score': 49, 'disable_domains': []}
2021-05-17 23:37:47 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '78.47.16.54', 'port': '80', 'protocol': 0, 'nick_type': 0, 'speed': 2.19, 'area': '德国 巴伐利亚 纽伦堡', 'score': 50, 'disable_domains': []}
2021-05-17 23:38:07 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '119.29.2.18', 'port': '8081', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '中国 广东省 广州市', 'score': 49, 'disable_domains': []}
2021-05-17 23:38:27 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '202.61.51.204', 'port': '3128', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '巴基斯坦 XX XX', 'score': 49, 'disable_domains': []}
2021-05-17 23:38:27 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.7.10.118', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '新加坡 XX XX', 'score': 49, 'disable_domains': []}
2021-05-17 23:38:47 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '116.17.102.125', 'port': '3128', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '中国 广东 惠州', 'score': 49, 'disable_domains': []}
2021-05-17 23:38:48 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '113.100.209.211', 'port': '3128', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '中国 广东省 惠州市', 'score': 49, 'disable_domains': []}
2021-05-17 23:38:54 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '167.99.118.98', 'port': '8080', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '美国 新泽西州 克利夫頓', 'score': 49, 'disable_domains': []}
2021-05-17 23:39:00 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '216.21.18.194', 'port': '80', 'protocol': 0, 'nick_type': 0, 'speed': 0.96, 'area': '美国 华盛顿 XX', 'score': 50, 'disable_domains': []}
2021-05-17 23:39:20 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '186.225.117.58', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '巴西 XX XX', 'score': 49, 'disable_domains': []}
2021-05-17 23:39:40 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '120.10.146.61', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '中国 河北省 Gaocheng', 'score': 49, 'disable_domains': []}
2021-05-17 23:39:46 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '75.119.144.28', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '美国 佛罗里达 XX', 'score': 49, 'disable_domains': []}
2021-05-17 23:39:54 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '220.174.236.211', 'port': '8091', 'protocol': 2, 'nick_type': 0, 'speed': 1.61, 'area': '中国 海南省 海口市', 'score': 50, 'disable_domains': []}
2021-05-17 23:40:14 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '132.248.196.2', 'port': '8080', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '墨西哥 米却肯州 莫雷利亚', 'score': 49, 'disable_domains': []}
2021-05-17 23:40:18 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '47.241.16.190', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '新加坡 XX XX', 'score': 49, 'disable_domains': []}
2021-05-17 23:40:22 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '183.88.226.50', 'port': '8080', 'protocol': 2, 'nick_type': 0, 'speed': 0.99, 'area': '泰国 曼谷 曼谷', 'score': 50, 'disable_domains': []}
2021-05-17 23:40:38 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '219.92.3.149', 'port': '8080', 'protocol': 0, 'nick_type': 0, 'speed': 7.95, 'area': '马来西亚 吉隆坡 ', 'score': 50, 'disable_domains': []}
2021-05-17 23:40:41 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '185.235.41.85', 'port': '80', 'protocol': 0, 'nick_type': 0, 'speed': 1.8, 'area': '荷兰 Flevoland Dronten', 'score': 50, 'disable_domains': []}
2021-05-17 23:40:43 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '182.92.239.16', 'port': '8080', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '中国 浙江省 西湖', 'score': 49, 'disable_domains': []}
2021-05-17 23:40:49 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '193.149.225.72', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '德国 法兰克福 法兰克福', 'score': 49, 'disable_domains': []}
2021-05-17 23:40:52 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '103.28.121.58', 'port': '80', 'protocol': 0, 'nick_type': 0, 'speed': 1.08, 'area': '孟加拉 XX XX', 'score': 50, 'disable_domains': []}
2021-05-17 23:41:08 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '77.68.125.33', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '英国 英格兰 格洛斯特', 'score': 49, 'disable_domains': []}
2021-05-17 23:41:28 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '218.204.153.156', 'port': '443', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '中国 江西 吉安', 'score': 49, 'disable_domains': []}
2021-05-17 23:41:49 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '167.172.180.40', 'port': '44544', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '德国 Hesse 法兰克福', 'score': 49, 'disable_domains': []}
2021-05-17 23:41:52 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '203.80.191.2', 'port': '80', 'protocol': 0, 'nick_type': 2, 'speed': 0.38, 'area': '孟加拉 XX XX', 'score': 50, 'disable_domains': []}
2021-05-17 23:41:53 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '91.202.230.219', 'port': '8080', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '波兰 Lubusz Żagań', 'score': 49, 'disable_domains': []}
2021-05-17 23:42:13 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '45.32.101.24', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '新加坡 XX XX', 'score': 49, 'disable_domains': []}
2021-05-17 23:42:33 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '52.66.5.63', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '印度 马哈拉施特拉 孟买', 'score': 49, 'disable_domains': []}
2021-05-17 23:42:53 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '211.43.214.205', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '韩国 首尔 首尔', 'score': 49, 'disable_domains': []}
2021-05-17 23:43:13 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '188.233.55.147', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '俄罗斯联邦 Volgograd Oblast 伏尔加格勒', 'score': 49, 'disable_domains': []}
2021-05-17 23:43:33 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '161.97.172.58', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': '德国 North Rhine-Westphal 杜塞尔多夫', 'score': 49, 'disable_domains': []}
2021-05-17 23:43:48 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '115.221.247.33', 'port': '9999', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 48, 'disable_domains': []}
2021-05-17 23:44:08 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '115.221.247.34', 'port': '9999', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 48, 'disable_domains': []}
2021-05-17 23:44:08 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '106.14.198.6', 'port': '8080', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 48, 'disable_domains': []}
2021-05-17 23:44:28 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '58.250.21.56', 'port': '3128', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 48, 'disable_domains': []}
2021-05-17 23:44:28 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '39.106.223.134', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 48, 'disable_domains': []}
2021-05-17 23:44:29 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '218.60.8.83', 'port': '3129', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 48, 'disable_domains': []}
2021-05-18 23:43:05 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '115.221.247.33', 'port': '9999', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 47, 'disable_domains': []}
2021-05-18 23:43:25 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '115.221.247.34', 'port': '9999', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 47, 'disable_domains': []}
2021-05-18 23:49:13 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '115.221.247.33', 'port': '9999', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 46, 'disable_domains': []}
2021-05-18 23:51:31 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '115.221.247.33', 'port': '9999', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 45, 'disable_domains': []}
2021-05-18 23:52:45 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '106.14.198.6', 'port': '8080', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 47, 'disable_domains': []}
2021-05-18 23:52:45 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '39.106.223.134', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 47, 'disable_domains': []}
2021-05-18 23:52:46 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '218.60.8.83', 'port': '3129', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 47, 'disable_domains': []}
2021-05-18 23:52:46 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '13.51.131.184', 'port': '80', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 48, 'disable_domains': []}
2021-05-18 23:52:50 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '115.221.247.33', 'port': '9999', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 44, 'disable_domains': []}
2021-05-18 23:52:52 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '212.179.18.75', 'port': '3128', 'protocol': 2, 'nick_type': 2, 'speed': 0.78, 'area': '以色列 Tel Aviv 特拉维夫', 'score': 50, 'disable_domains': []}
2021-05-18 23:52:52 mongo_pool.py [line:62] INFO: 修改代理ip:{'ip': '41.59.90.92', 'port': '80', 'protocol': 0, 'nick_type': 0, 'speed': 1.42, 'area': '坦桑尼亚 Dar es Salaam Region 达累斯萨拉姆', 'score': 50, 'disable_domains': []}
